Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Tags,lang,target,target_tag,rater
The wandering mind in borderline personality disorder: Instability in self- and other-related thoughts,"Kanske, P.; Schulze, L.; Dziobek, I.; Scheibner, H.; Roepke, S.; Singer, T.","Diagnostic criteria for borderline personality disorder (BPD) include instability in identity and interpersonal relationships. Here, we probed whether instability is already present in BPD patients' thoughts about themselves and others. We tested BPD patients (N=27) and healthy controls (N=25) with a mind-wandering task that assesses content and variability of stimulus-independent self-generated thoughts. Multi-level modeling revealed that while BPD patients and healthy controls mind-wander to a similar extent, BPD patients' thoughts are colored predominantly negatively. Most importantly, although their thoughts concerned the self and others as much as in controls, they fluctuated more strongly in the degree to which their thoughts concerned themselves and others and also gave more extreme ratings. Self- and other related thoughts that were more extreme were also more negative in valence. The increased variability supports current conceptualizations of BPD and may account for the instability in identity and interpersonal relationships.",2016,Aug 30,Psychiatry Res,242,,302-310,27318635.0,10.1016/j.psychres.2016.05.060,,#873,Kanske 2016,,en,1.0,PRO,LS
Linking Personality Traits to Individual Differences in Affective Spaces,"Levine, S. M.; Alahaivala, A. L. I.; Wechsler, T. F.; Wackerle, A.; Rupprecht, R.; Schwarzbach, J. V.","Different individuals respond differently to emotional stimuli in their environment. Therefore, to understand how emotions are represented mentally will ultimately require investigations into individual-level information. Here we tasked participants with freely arranging emotionally charged images on a computer screen according to their subjective emotional similarity (yielding a unique affective space for each participant) and subsequently sought external validity of the layout of the individuals' affective spaces through the five-factor personality model (Neuroticism, Extraversion, Openness to Experience, Agreeableness, Conscientiousness) assessed via the NEO Five-Factor Inventory. Applying agglomerative hierarchical clustering to the group-level affective space revealed a set of underlying affective clusters whose within-cluster dissimilarity, per individual, was then correlated with individuals' personality scores. These cluster-based analyses predominantly revealed that the dispersion of the negative cluster showed a positive relationship with Neuroticism and a negative relationship with Conscientiousness, a finding that would be predicted by prior work. Such results demonstrate the non-spurious structure of individualized emotion information revealed by data-driven analyses of a behavioral task (and validated by incorporating psychological measures of personality) and corroborate prior knowledge of the interaction between affect and personality. Future investigations can similarly combine hypothesis- and data-driven methods to extend such findings, potentially yielding new perspectives on underlying cognitive processes, disease susceptibility, or even diagnostic/prognostic markers for mental disorders involving emotion dysregulation.",2020,2020/03/12,Front Psychol,11,,448,32231631.0,10.3389/fpsyg.2020.00448,,#874,Levine 2020,,en,1.0,PRO,JD
Reward Processing in Unipolar and Bipolar Depression: A Functional MRI Study,"Redlich, R.; Dohm, K.; Grotegerd, D.; Opel, N.; Zwitserlood, P.; Heindel, W.; Arolt, V.; Kugel, H.; Dannlowski, U.","Differentiating bipolar disorders (BD) from unipolar depression (UD) remains a major clinical challenge. The identification of neurobiological markers may help to differentiate these disorders, particularly during depressive episodes. This cross-sectional study, including 33 patients with UD, 33 patients with BD, and 34 healthy controls, is one of the first to directly compare UD and BD with respect to reward processing. A card-guessing paradigm was employed and brain activity associated with reward processing was investigated by means of fMRI. A 3 (group) x 2 (condition: reward>control, loss>control) ANOVA was conducted using the nucleus accumbens (NAcc) as ROI. Furthermore, a whole-brain approach was applied. A functional connectivity analysis was performed to characterize diagnosis-related alterations in the functional coupling between the NAcc and other brain areas. The ANOVA revealed higher activity for healthy controls (HCs) than for BD and UD in the NAcc during reward processing. Moreover, UD showed a higher functional connectivity between the NAcc and the VTA than HC. The patients groups could be differentiated in that BD showed a decreased activation, in the reward condition, of the NAcc, caudate nucleus, thalamus, putamen, insula, and prefrontal areas compared with UD. These results may help to refine the understanding of neural correlates of reward processing in both disorders, and to understand the neural underpinnings of anhedonia, a core symptom of depressive episodes.",2015,Oct,Neuropsychopharmacology,40,11,2623-31,25881114.0,10.1038/npp.2015.110,,#875,Redlich 2015,,en,1.0,PRO,JD
[Difficult situations in psychotherapy and how therapists deal with them],"Henkel, M.; Michel, S.; Gaubatz, S.; Keymer, A.; Brakemeier, E. L.; Benecke, C.","Difficult situations in psychotherapy and how therapists deal with them Objectives: In theory and research, it is assumed that therapeutic competences are especially relevant in difficult situations. In the present study, we collected and categorized situations that psychotherapists subjectively evaluated as difficult. Additionally, we inspected therapists' reactions to these situations and considered correlations between situations and reactions. Methods: In an online-survey, 101 therapists described difficult situations and their corresponding reactions. The reports were analyzed by qualitative content analysis (Mayring 2015) and resulted in two category systems for the difficult situations and the reactions. Results: Difficult situations reached from everyday conflicts to extreme situations (e. g. threats). The most frequent difficult situations were in context of therapeutic frame, aspects of disorder, and critics, demands, accusations of patients. The most frequent reactions concerned therapeutic frame, external help and supportive interventions. We found significant correlations between difficult situations due to aspects of disorder and asking for external help. Conclusions: Although categories were sometimes difficult to isolate and few cognitive behavioral therapists participated, the collection of difficult situations can be of help for therapists and their training.",2019,Dec,Z Psychosom Med Psychother,65,4,372-383,31801443.0,10.13109/zptm.2019.65.4.372,,#876,Henkel 2019,,en,1.0,PRO,LS
Do People With Psychosis Have Specific Difficulties Regulating Emotions?,"Lincoln, T. M.; Hartmann, M.; Kother, U.; Moritz, S.","Difficulties in emotion regulation (ER) are present in psychotic disorders, but their precise nature is not yet fully understood and it is unclear which difficulties are unique to psychosis compared with other disorders. This study investigated whether ER difficulties in psychosis are more prominent for the ability to modify emotions or for the ability to tolerate and accept them. Furthermore, it investigated whether ER difficulties occur for sadness, anxiety, anger and shame likewise. ER skills were assessed in participants with psychotic disorders (n = 37), participants with depression (n = 30) and healthy controls (n = 28) using the Emotion Regulation Skill Questionnaire that asks participants to rate the intensity of different emotions over the past week and the skills employed to handle each of them. Compared with healthy controls, participants with psychosis showed reduced skills related to awareness, understanding and acceptance of potentially distressing emotions, but not in the ability to modify them. These differences remained significant after controlling for depression. Participants with psychosis showed reduced ER skills in regard to all of the assessed emotions compared with the healthy controls, despite the fact that they only reported sadness as being significantly more intense. The participants with depression showed a similar pattern of ER skills to the psychosis sample, although with a tendency towards even more pronounced difficulties. It is concluded that psychosis is characterized by difficulties in using specific ER skills related to awareness, understanding and acceptance to regulate anger, shame, anxiety and sadness. These difficulties are not unique to psychosis but nevertheless present a promising treatment target. KEY PRACTITIONER MESSAGE: The participants with psychosis found it more difficult to be aware of their emotions, to understand them and to accept them than the healthy control group. However, they reported equal skills when it came to actively modifying emotions. The difficulties in emotion regulation reported by the participants with psychosis were comparable with those reported by the participants with depression, and they occurred for all types of negative emotions likewise. The difficulties in using specific ER skills related to awareness, understanding and acceptance are a promising target for psychological treatment of psychosis. Interventions that are aimed specifically at increasing these skills need to be further developed.",2015,Nov-Dec,Clin Psychol Psychother,22,6,637-46,25256563.0,10.1002/cpp.1923,,#877,Lincoln 2015,,en,0.0,MNR,LS
Out of control? Acting out anger is associated with deficient prefrontal emotional action control in male patients with borderline personality disorder,"Bertsch, K.; Krauch, M.; Roelofs, K.; Cackowski, S.; Herpertz, S. C.; Volman, I.","Difficulty in anger control and anger-related aggressive outbursts against others are frequently reported by patients with borderline personality disorder (BPD). Although male sex is a known predictor for aggression, hardly any study has addressed the neural correlates of deficient anger control in male patients with BPD. Building on previous reports in female BPD, we investigated the involvement of lateral antero- and dorsal prefrontal cortex in the control of fast emotional actions and its relation to self-reported tendencies to act out anger. 15 medication-free male patients with BPD and 25 age- and intelligence-matched healthy men took part in a social Approach-Avoidance task in the MR-scanner. This task allows the measurement of neural correlates underlying the control of fast behavioral tendencies to approach happy and avoid angry faces. Hypothesis-driven region-of-interest and exploratory whole brain analyses were used to test for activations of antero- and dorsolateral prefrontal regions and their relation with the amygdala during emotional action control as well as their association with self-reported anger out in male patients with BPD and healthy volunteers. Male patients with BPD showed reduced anterolateral prefrontal activations during emotional action control compared to healthy volunteers. Furthermore, anger out was negatively related to antero- and dorsolateral prefrontal activations, while it was positively related to amygdala activity in male patients with BPD. The current results suggest the involvement of antero- and dorsolateral prefrontal regions in controlling and overriding fast emotional actions. Deficits in lateral prefrontal emotion control seem to be a common neural mechanism underlying anger-related aggression. This article is part of the Special Issue entitled 'Current status of the neurobiology of aggression and impulsivity'.",2019,Sep 15,Neuropharmacology,156,,107463,30553826.0,10.1016/j.neuropharm.2018.12.010,,#878,Bertsch 2019,,en,1.0,PRO,LS
"The sensory channel of presentation alters subjective ratings and autonomic responses toward disgusting stimuli-Blood pressure, heart rate and skin conductance in response to visual, auditory, haptic and olfactory presented disgusting stimuli","Croy, I.; Laqua, K.; Suss, F.; Joraschky, P.; Ziemssen, T.; Hummel, T.","Disgust causes specific reaction patterns, observable in mimic responses and body reactions. Most research on disgust deals with visual stimuli. However, pictures may cause another disgust experience than sounds, odors, or tactile stimuli. Therefore, disgust experience evoked by four different sensory channels was compared. A total of 119 participants received 3 different disgusting and one control stimulus, each presented through the visual, auditory, tactile, and olfactory channel. Ratings of evoked disgust as well as responses of the autonomic nervous system (heart rate, skin conductance level, systolic blood pressure) were recorded and the effect of stimulus labeling and of repeated presentation was analyzed. Ratings suggested that disgust could be evoked through all senses; they were highest for visual stimuli. However, autonomic reaction toward disgusting stimuli differed according to the channel of presentation. In contrast to the other, olfactory disgust stimuli provoked a strong decrease of systolic blood pressure. Additionally, labeling enhanced disgust ratings and autonomic reaction for olfactory and tactile, but not for visual and auditory stimuli. Repeated presentation indicated that participant's disgust rating diminishes to all but olfactory disgust stimuli. Taken together we argue that the sensory channel through which a disgust reaction is evoked matters.",2013,,Front Hum Neurosci,7,,510,24027509.0,10.3389/fnhum.2013.00510,,#879,Croy 2013,,en,0.0,MNR,JD
"Dissociation of neuronal, electrodermal, and evaluative responses in disgust extinction","Klucken, T.; Schweckendiek, J.; Merz, C. J.; Vaitl, D.; Stark, R.","Disgust extinction is an important mechanism relevant for the treatment of psychiatric disorders. However, only a few studies have investigated disgust extinction. Moreover, because disgust sensitivity (DS) is considered as a relevant factor for learning processes, this study also investigated the potential relationship between DS and disgust extinction learning. The aim of this study was to explore the neuronal correlates of disgust extinction, as well as changes in skin conductance responses (SCRs) and evaluative conditioning. Twenty subjects were exposed to a differential extinction paradigm, in which a previous conditioned, and now unreinforced, stimulus (conditioned stimulus, CS+) was compared to a second stimulus (CS-), which was previously not associated with the unconditioned stimulus (UCS). Extinction learning was measured on three different response levels (BOLD responses, SCRs, and evaluative conditioning). Regarding evaluative conditioning, the CS+ was rated as more unpleasant than the CS-. Interestingly, significantly increased amygdala responses and SCRs toward to the CS- were observed. Finally, a (negative) trend was found between DS scores and BOLD responses of the prefrontal cortex. The present findings showed a dissociation of different response levels. The increased CS- responses could be explained by the assumption that the increased amygdala activity may reflect a safety learning signal during the first extinction trials and the subjective focus may therefore shift from the CS+ to the CS-. The correlation finding supports previous studies postulating that DS hampers extinction processes. The present results point toward dissociations between the response levels in context of extinction processes.",2013,Jun,Behav Neurosci,127,3,380-6,23731074.0,10.1037/a0032331,,#880,Klucken 2013,,en,1.0,PRO,LS
Attentional Processing of Disgust and Fear and Its Relationship With Contamination-Based Obsessive-Compulsive Symptoms: Stronger Response Urgency to Disgusting Stimuli in Disgust-Prone Individuals,"Fink-Lamotte, J.; Widmann, A.; Sering, K.; Schroger, E.; Exner, C.","Disgust has recently been characterized as a low-urgency emotion, particularly compared to fear. The aim of the present study is to clarify whether behavioral inhibition during disgust engagement is characteristic of a low-urgency emotion and thus indicates self-imposed attentional avoidance in comparison to fear. Therefore, 54 healthy participants performed an emotional go/no-go task with disgust- and fear-relevant as well as neutral pictures. Furthermore, heart rate activity and facial muscle activity on the fear-specific m. corrugator supercilli and the disgust-specific m. levator labii were assessed. The results partially support the temporal urgency hypothesis of disgust. The emotion conditions significantly differed in emotional engagement and in the facial muscle activity of the m. levator labii as expected. However, contrary to our expectations, no differences between the emotion conditions regarding behavioral inhibition as well as heart rate change could be found. Furthermore, individuals with a higher-trait disgust proneness showed faster reactions and higher activity of the m. levator labii in response to disgust stimuli. The results show that different trait levels influence attentional engagement and physiological parameters but have only a small effect on behavioral inhibition.",2021,2021/06/07,Front Psychiatry,12,,596557,34163378.0,10.3389/fpsyt.2021.596557,,#881,Fink-Lamotte 2021,,en,0.0,MNR,LS
Effects of a best-possible-self mental imagery exercise on mood and dysfunctional attitudes,"Renner, F.; Schwarz, P.; Peters, M. L.; Huibers, M. J.","Dispositional optimism has been related to positive physical and mental health outcomes, increased positive mood ratings and cognitions about the future. In order to determine the causal relation between optimism and mood and cognitions optimism should be manipulated experimentally. The current study tested the effects of a best-possible-self mental imagery exercise on affect and mood ratings and dysfunctional cognitions following a sad mood induction in undergraduate students (N=40). Participants in the experimental condition wrote about their best possible self in the future for 15 min and engaged in a mental imagery task about their best possible self in the future for 5 min in order to experimentally induce optimism. Participants in the control condition wrote about a typical day for 15 min and engaged in mental imagery about a typical day for 5 min. We assessed affect, mood and dysfunctional cognitions before and after the experimental manipulation. Participants in the experimental condition had higher positive mood ratings and higher positive affect compared to participants in the control condition. Participants in the control condition reported decreased dysfunctional cognitions whereas dysfunctional cognitions in the experimental group remained unchanged. Future studies should replicate these findings in clinical groups with more profound levels of negative affect and dysfunctional cognitions.",2014,Jan 30,Psychiatry Res,215,1,105-10,24252218.0,10.1016/j.psychres.2013.10.033,,#882,Renner 2014,,en,0.0,MNR,LS
Impaired and preserved aspects of feedback learning in aMCI: contributions of structural connectivity,"Wessa, M.; King, A. V.; Meyer, P.; Frolich, L.; Flor, H.; Poupon, C.; Hoppstadter, M.; Linke, J.","Distinct lines of research demonstrated that patients with amnestic mild cognitive impairment (aMCI), a potential precursor of Alzheimer disease (AD), are particularly impaired in remembering relations between items and that the use of emotional targets can facilitate memory in patients with AD. We link these findings by examining learning through positive and negative feedback in patients with aMCI, and explore its anatomic underpinnings with diffusion tensor imaging and tractography. Compared to healthy controls, patients with single-domain aMCI were impaired in learning from positive feedback, while learning from negative outcomes was preserved. Among pathways within the brain circuit involved in feedback learning, abnormal white matter microstructure was observed in tracts, which connect left-hemispheric amygdala with hippocampus and entorhinal cortex. In all participants, reduced white matter integrity in this left fiber tract was specifically associated with learning from positive outcomes. Microstructure of right-hemispheric tracts between amygdala and entorhinal cortex was related to learning from negative feedback, and was not compromised in aMCI patients. Our results provide new insight into how anatomical connections might contribute to impaired and preserved aspects of learning behaviors in the early AD process and indicate potential compensatory mechanisms.",2016,Jun,Brain Struct Funct,221,5,2831-46,26084875.0,10.1007/s00429-015-1075-y,,#883,Wessa 2016,,en,0.0,MNR,JD
The role of auditory transient and deviance processing in distraction of task performance: a combined behavioral and event-related brain potential study,"Berti, S.","Distraction of goal-oriented performance by a sudden change in the auditory environment is an everyday life experience. Different types of changes can be distracting, including a sudden onset of a transient sound and a slight deviation of otherwise regular auditory background stimulation. With regard to deviance detection, it is assumed that slight changes in a continuous sequence of auditory stimuli are detected by a predictive coding mechanisms and it has been demonstrated that this mechanism is capable of distracting ongoing task performance. In contrast, it is open whether transient detection-which does not rely on predictive coding mechanisms-can trigger behavioral distraction, too. In the present study, the effect of rare auditory changes on visual task performance is tested in an auditory-visual cross-modal distraction paradigm. The rare changes are either embedded within a continuous standard stimulation (triggering deviance detection) or are presented within an otherwise silent situation (triggering transient detection). In the event-related brain potentials, deviants elicited the mismatch negativity (MMN) while transients elicited an enhanced N1 component, mirroring pre-attentive change detection in both conditions but on the basis of different neuro-cognitive processes. These sensory components are followed by attention related ERP components including the P3a and the reorienting negativity (RON). This demonstrates that both types of changes trigger switches of attention. Finally, distraction of task performance is observable, too, but the impact of deviants is higher compared to transients. These findings suggest different routes of distraction allowing for the automatic processing of a wide range of potentially relevant changes in the environment as a pre-requisite for adaptive behavior.",2013,,Front Hum Neurosci,7,,352,23874278.0,10.3389/fnhum.2013.00352,,#884,Berti 2013,,en,1.0,PRO,JD
Clarifying the latent structure and correlates of somatic symptom distress: A bifactor model approach,"Witthoft, M.; Fischer, S.; Jasper, F.; Rist, F.; Nater, U. M.","Distressing somatic symptoms are ubiquitous both in mental disorders and medical diseases. From a psychometric perspective, the structure of somatic symptom distress is unclear, and little is known about the strengths of associations to related constructs, such as health anxiety and somatosensory amplification. To clarify the structure of somatic symptom distress and to explore associations to health anxiety, somatosensory amplification, and functional somatic syndromes, data sets of 2 samples of college students from Germany (N = 1,520) and Switzerland (N = 3,053) were investigated with confirmatory factor analysis with robust estimation. A bifactor model (with 1 general and 4 orthogonal specific symptom factors-gastrointestinal, fatigue, cardio-pulmonary, and pain symptoms) revealed the best model fit. Medium-sized associations were found among latent factors of general somatic symptom distress, health anxiety, and depression. First evidence for the construct validity of the latent variables within the proposed bifactor structure was gained by observing (a) strong associations between the general somatic symptom distress factor and somatosensory amplification and (b) significant associations between both the general somatic symptom factor as well as the symptom-specific factors with functional somatic syndromes. The results offer a theoretically and psychometrically plausible model for the structure of somatic symptom distress and suggest a distinction between cognitive-affective and sensory aspects of symptom perception. The findings are compatible with current cognitive psychological and neuropsychological approaches to symptom perception and imply that somatic symptom distress is a multidimensional phenomenon that is both strongly linked to but also clearly separable from related constructs.",2016,Jan,Psychol Assess,28,1,109-15,26029944.0,10.1037/pas0000150,,#885,Witthoft 2016,,en,1.0,PRO,JD
[Accessing Disturbances of Attachment Symptoms Using Interview Technique],"Kliewer-Neumann, J.; Bovenschen, I.; Lang, K.; Spangler, G.; Nowacki, K.; Roland, I. C.","Disturbances of attachment represent a clinically significant disorder and seriously impair social behavioural functioning. To date there has been little research and valid diagnostic methods are lacking. In the present study a German Version of the Disturbances of Attachment Interview developed by Smyke and Zeanah (1999) was used to assess disturbances of attachment in a sample of foster children and the validity of the translation is investigated. Furthermore, the Strengths and Difficulties Questionnaire (Goodman, 1997) was used to examine the discriminative validity. The results show a satisfying reliability and the scales of attachment disorders declare the main of the variance. There is a weak association between the disinhibited scale and hyperactivity in the SDQ. Overall the disinhibited disorder can be distinguished from other behaviour patterns. Regarding the inhibited scale there are associations with all SDQ scales and the inhibited category seems harder to distinguish from other deviant developmental issues. The method is evaluated as a qualified approach to the diagnosis of attachment disorders in the context of a multimethodical approach. Furthermore, the findings suggest further examination of the construct of attachment disturbances.",2015,2015/12/01,Prax Kinderpsychol Kinderpsychiatr,64,10,759-73,26645773.0,10.13109/prkk.2015.64.10.759,,#886,Kliewer-Neumann 2015,,en,0.0,MNR,JD
Presence of a dog reduces subjective but not physiological stress responses to an analog trauma,"Lass-Hennemann, J.; Peyk, P.; Streb, M.; Holz, E.; Michael, T.","Dogs are known to have stress and anxiety reducing effects. Several studies have shown that dogs are able to calm people during cognitive and performance stressors. Recently, therapy dogs have been proposed as a treatment adjunct for post-traumatic stress disorder patients. In this study we aimed to investigate, whether dogs also have anxiety- and stress reducing effect during ""traumatic stressors."" 80 healthy female participants were randomly assigned to one of four conditions. They were exposed to a ""traumatic"" film clip (trauma-film-paradigm). For one group of participants a friendly dog was present during the film, one group of participants was accompanied by a friendly human, another control group watched the film with a toy animal and the last group watched the film clip alone. Participants that were accompanied by the dog during the film reported lower anxiety ratings and less negative affect after the film clip as compared to the ""toy dog group"" and the ""alone group."" Results of the ""dog group"" were comparable to the group that was accompanied by a friendly human. There were no differences in physiological stress responses between the four conditions. Our results show that dogs are able to lessen subjectively experienced stress and anxiety during a ""traumatic"" stress situation. This effect was comparable to that of social support by a friendly person. Implications for PTSD patients are discussed.",2014,2014/09/09,Front Psychol,5,,1010,25250009.0,10.3389/fpsyg.2014.01010,,#888,Lass-Hennemann 2014,,en,0.0,MNR,LS
The dopamine D2 receptor mediates approach-avoidance tendencies in smokers,"Zlomuzica, A.; Machulska, A.; Roberts, S.; von Glischinski, M.; Rinck, M.; Lester, K. J.; Eley, T. C.; Margraf, J.","Dopamine D2 receptors (DRD2) have been strongly implicated in reward processing of natural stimuli and drugs. Using the approach-avoidance task (AAT), we recently demonstrated that smokers show an increased approach-bias toward smoking-related cues but not toward naturally rewarding stimuli. Here, we examined the contribution of the DRD2 Taq1B polymorphism to smokers' and non-smokers' responsivity toward smoking versus naturally rewarding stimuli in the AAT. Smokers carrying the minor B1 allele of the DRD2 Taq1B polymorphism showed reduced approach behavior for food-related pictures compared to non-smokers with the same allele. In the group of smokers, a higher approach-bias toward smoking-related compared to food-related pictures was found in carriers of the B1 allele. This pattern was not evident in smokers homozygous for the B2 allele. In addition, smokers with the B1 allele reported fewer attempts to quit smoking relative to smokers homozygous for the B2 allele. This is the first study demonstrating that behavioral shifts in response to smoking relative to natural rewards in smokers are mediated by the DRD2 Taq1B polymorphism. Our results indicate a reduced natural-reward brain reactivity in smokers with a genetically determined decrease in dopaminergic activity (i.e., reduction of DRD2 availability). It remains to be determined whether this pattern might be related to a different outcome after psychological cessation interventions, i.e., AAT modification paradigms, in smokers.",2018,Apr,Eur Arch Psychiatry Clin Neurosci,268,3,261-268,28364268.0,10.1007/s00406-017-0793-y,,#889,Zlomuzica 2018,,en,0.0,MNR,JD
Paradoxical dopaminergic drug effects in extraversion: dose- and time-dependent effects of sulpiride on EEG theta activity,"Chavanon, M. L.; Wacker, J.; Stemmler, G.","Dopaminergic drugs frequently produce paradoxical effects depending on baseline performance levels, genotype, or personality traits. The present study for the first time aimed to specify the mechanisms underlying such opposite effects using the following recently reported scenario as an example: depending on the personality trait agentic extraversion (agentic facet, aE; i.e., assertiveness, dominance, ambition, positive emotionality) the selective dopamine D2 receptor antagonist sulpiride (200 mg) had opposite effects on resting posterior vs. anterior theta activity in the electroencephalogram (EEG). In order to better describe these opposite pharmaco-EEG effects and to generate hypotheses regarding the underlying mechanisms, we measured the EEG intermittently over 5 h in 80 healthy male volunteers extremely high or low in aE who had received either placebo or one of three doses of sulpiride (50, 200, or 400 mg). The findings suggest a model postulating stronger pre- vs. postsynaptic subreceptor effects in high aE individuals compared to low aE individuals. Future studies may now systematically apply the model to other examples of paradoxical dopaminergic drug effects and examine the molecular basis of individual differences in pre- vs. postsynaptic dopamine D2 subreceptor sensitivities and densities.",2013,,Front Hum Neurosci,7,,117,23580360.0,10.3389/fnhum.2013.00117,,#890,Chavanon 2013,,en,1.0,PRO,JD
Approach bias modification in inpatient psychiatric smokers,"Machulska, A.; Zlomuzica, A.; Rinck, M.; Assion, H. J.; Margraf, J.","Drug-related automatic approach tendencies contribute to the development and maintenance of addictive behavior. The present study investigated whether a nicotine-related approach bias can be modified in smokers undergoing inpatient psychiatric treatment by using a novel training variant of the nicotine Approach-Avoidance-Task (AAT). Additionally, we assessed whether the AAT-training would affect smoking behavior. Inpatient smokers were randomly assigned to either an AAT-training or a sham-training condition. In the AAT-training condition, smokers were indirectly instructed to make avoidance movements in response to nicotine-related pictures and to make approach movements in response to tooth-cleaning pictures. In the sham-training condition, no contingency between picture content und arm movements existed. Trainings were administered in four sessions, accompanied by a brief smoking-cessation intervention. Smoking-related self-report measures and automatic approach biases toward smoking cues were measured before and after training. Three months after training, daily nicotine consumption was obtained. A total of 205 participants were recruited, and data from 139 participants were considered in the final analysis. Prior to the trainings, smokers in both conditions exhibited a stronger approach bias for nicotine-related pictures than for tooth-cleaning pictures. After both trainings, this difference was no longer evident. Although reduced smoking behavior at posttest was observed after both trainings, only the AAT-training led to a larger reduction of nicotine consumption at a three-month follow-up. Our preliminary data partially support the conclusion that the AAT might be a feasible tool to reduce smoking in the long-term in psychiatric patients, albeit its effect on other smoking-related measures remains to be explored.",2016,May,J Psychiatr Res,76,,44-51,26874269.0,10.1016/j.jpsychires.2015.11.015,,#892,Machulska 2016,,en,0.0,MNR,JD
Context counts! social anxiety modulates the processing of fearful faces in the context of chemosensory anxiety signals,"Adolph, D.; Meister, L.; Pause, B. M.","During emotion perception, context is an important source of information. Whether contextual cues from modalities other than vision or audition influence the perception of social emotional information has not been investigated. Thus, the present study aimed at testing emotion perception and regulation in response to fearful facial expressions presented in the context of chemosensory stimuli derived from sweat of anxious individuals. In groups of high (HSA) and low socially anxious (LSA) participants we recorded the startle reflex (Experiment I), and analysed event-related potentials (ERPs; Experiment II) while they viewed anxious facial expressions in the context of chemosensory anxiety signals and chemosensory control stimuli. Results revealed that N1/P1 and N170 amplitudes were larger while late positive potential (LPP) activity was smaller for facial expressions presented in the context of the anxiety and the chemosensory control stimulus as compared to facial expressions without a chemosensory context. Furthermore, HSA participants were highly sensitive to the contextual anxiety signals. They showed enhanced motivated attention allocation (LPP, Study II), as well as larger startle responses toward faces in the context of chemosensory anxiety signals than did LSA participants (Study I). Chemosensory context had no effect on emotion regulation, and both LSA and HSA participants showed effective emotion regulation (Study I and II). In conclusion, both anxiety and chemosensory sport context stimuli enhanced early attention allocation and structural encoding, but diminished motivated attention allocation to the facial expressions. The current results show that visual and chemosensory information is integrated on virtually all levels of stimulus processing and that socially anxious individuals might be especially sensitive to chemosensory contextual social information.",2013,,Front Hum Neurosci,7,,283,23801951.0,10.3389/fnhum.2013.00283,,#893,Adolph 2013,,en,0.0,MNR,JD
Face masks reduce interpersonal distance in virtual reality,"Kroczek, L. O. H.; Bohme, S.; Muhlberger, A.","During the COVID-19 pandemic several behavioral measures have been implemented to reduce viral transmission. While these measures reduce the risk of infections, they may also increase risk behavior. Here, we experimentally investigate the influence of face masks on physical distancing. Eighty-four participants with or without face masks passed virtual agents in a supermarket environment to reach a target while interpersonal distance was recorded. Agents differed in wearing face masks and age (young, elderly). In addition, situational constraints varied in whether keeping a distance of 1.5 m required an effortful detour or not. Wearing face masks (both self and other) reduced physical distancing. This reduction was most prominent when keeping the recommended distance was effortful, suggesting an influence of situational constraints. Similarly, increased distances to elderly were only observed when keeping a recommended distance was effortless. These findings highlight contextual constraints in compensation behavior and have important implications for safety policies.",2022,Feb 9,Sci Rep,12,1,2213,35140279.0,10.1038/s41598-022-06086-x,,#894,Kroczek 2022,,en,1.0,PRO,JD
Effects of appraisal training on responses to a distressing autobiographical event,"Woud, M. L.; Zlomuzica, A.; Cwik, J. C.; Margraf, J.; Shkreli, L.; Blackwell, S. E.; Gladwin, T. E.; Ehring, T.","Dysfunctional appraisals are a key factor suggested to be involved in the development and maintenance of PTSD. Research has shown that experimental induction of a positive or negative appraisal style following a laboratory stressor affects analogue posttraumatic stress symptoms. This supports a causal role of appraisal in the development of traumatic stress symptoms and the therapeutic promise of modifying appraisals to reduce PTSD symptoms. The present study aimed to extend previous findings by investigating the effects of experimentally induced appraisals on reactions to a naturally occurring analogue trauma and by examining effects on both explicit and implicit appraisals. Participants who had experienced a distressing life event were asked to imagine themselves in the most distressing moment of that event and then received either a positive or negative Cognitive Bias Modification training targeting appraisals (CBM-App). The CBM-App training induced training-congruent appraisals, but group differences in changes in appraisal over training were only seen for explicit and not implicit appraisals. However, participants trained positively reported less intrusion distress over the subsequent week than those trained negatively, and lower levels of overall posttraumatic stress symptoms. These data support the causal relationship between appraisals and trauma distress, and further illuminate the mechanisms linking the two.",2018,May,J Anxiety Disord,56,,26-34,29699842.0,10.1016/j.janxdis.2018.03.010,,#896,Woud 2018,,en,0.0,MNR,JD
