Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,lang,target,results,is_result
[Metacognitions and interoceptive sensibility in the perception of premonitory urges in tic disorders across the lifespan],"Schutteler, C.; Gerlach, A. L.",metacognitions and interoceptive sensibility in the perception of premonitory urge in tic disorder across the lifespan abstract objective depending on contextual factor the prevalence of premonitory urge pu in patient with tic disorder td increase with age and varies both intra and interindividually in youth pu correlate with metacognitions in both youth and adult interoceptive sensibility is altered compared to healthy control we examined the relationship between pu tic metacognitions and interoceptive sensibility across the lifespan regarding tic severity method in an online survey 53 participant reported their pu on the premonitory urge for tic scale put and tic severity on the symptom checklist for tic disorder sbb tic we assessed interoceptive sensibility via the body perception questionnaire bpq a and metacognitions regarding tic with the belief about tic scale bat result adult scored higher on the put than youth in youth interoceptive sensibility increased with age interoceptive sensibility correlated with put metacognitions and interoceptive sensibility explained a significant amount of variance in premonitory urge even after controlling for tic severity and age conclusion the presumed cause of age dependent development of pu in youth lie in their neurophysiological maturing process however negative metacognitions and interoceptive ability also play an important role in the development and maintenance of pu and might be of therapeutic use in the treatment of td,2022,Nov 18,Z Kinder Jugendpsychiatr Psychother,,,,36398570.0,10.1024/1422-4917/a000910,,#1221,Schutteler 2022,Louis Schiekiera (2023-05-17 07:20:51)(Screen): pos; ,,en,1.0,,0
Metacognitive Change During Exposure and Metacognitive Therapy in Obsessive-Compulsive Disorder,"Hansmeier, J.; Haberkamp, A.; Glombiewski, J. A.; Exner, C.",metacognitive therapy mct ha been shown to be a promising treatment approach for obsessive compulsive disorder ocd the changeability of metacognitions by metacognitive treatment and it relevance to treatment outcome is however still unclear the current study investigates 1 if treatment with mct or exposure and response prevention erp in a randomized controlled pilot trial n 24 patient with ocd change ocd specific metacognitions of thought fusion belief belief about ritual and stop signal and 2 if these change are relevant for the treatment outcome in term of patient and therapist rated ocd symptom anova with pretest posttest and follow up score could show that all three metacognitions significantly decreased during both treatment regarding thought fusion belief a significant interaction effect indicated a higher decrease after mct than erp treatment in hierarchical regression analysis change in stop signal from pre to post treatment significantly predicted patient rating ocd symptom at post treatment and follow up at 3 month after treatment these change were even predictive of post treatment outcome after controlling for general metacognitions and dysfunctional cognitive belief these finding support the assumption that metacognitions can change during both treatment and that change in stop signal might be relevant for the treatment outcome on the symptom level in ocd,2021,2021/09/03,Front Psychiatry,12,,722782,34539468.0,10.3389/fpsyt.2021.722782,,#1223,Hansmeier 2021,Louis Schiekiera (2023-06-16 23:13:00)(Screen): pos; ,,en,1.0,,0
Adolescents' neural reactivity to acute psychosocial stress: dysfunctional regulation habits are linked to temporal gyrus response,"Golde, S.; Gleich, T.; Romund, L.; Stippl, A.; Pelz, P.; Raufelder, D.; Lorenz, R. C.; Beck, A.",mid adolescence is a critical time for the development of stress related disorder and it is associated with significant social vulnerability however little is known about normative neural process accompanying psychosocial stress at this time previous research found that emotion regulation strategy critically influence the relationship between stress and the development of psychiatric symptom during adolescence using functional magnetic resonance imaging fmri we examined neural response to acute stress and analyzed whether the tendency to use adaptive or maladaptive emotion regulation strategy is related to neural and autonomic stress response result show large linear activation increase from low to medium to high stress level mainly in medial prefrontal insulae and temporal area caudate and subgenual anterior cingulate cortex neural area related to reward and affective valuation showed linearly decreasing activation in line with our hypothesis the current adolescent neural stress profile resembled social rejection and wa characterized by pronounced activation in insula angular and temporal cortex moreover result point to an intriguing role of the anterior temporal gyrus stress related activity in the anterior temporal gyrus wa positively related to maladaptive regulation strategy and stress induced autonomic activity maladaptive coping might increase the social threat and reappraisal load of a stressor relating to higher stress sensitivity of anterior temporal cortex,2023,Feb,Dev Psychopathol,35,1,332-344,34365995.0,10.1017/S0954579421000572,,#1224,Golde 2023,Jonathan Diederichs (2023-06-02 23:48:32)(Screen): pos; ,,en,1.0,,0
Disentangling the Sources of Mimicry: Social Relations Analyses of the Link Between Mimicry and Liking,"Salazar Kampf, M.; Liebermann, H.; Kerschreiter, R.; Krause, S.; Nestler, S.; Schmukle, S. C.",mimicry is an important interpersonal behavior for initiating and maintaining relationship by observing the same participant n 139 in multiple dyadic interaction 618 data point in a round robin design we disentangled the extent to which mimicry is due to a the mimicker s general tendency to mimic imitativity b the mimickee s general tendency to evoke mimicry imitatability and c the unique dyadic relationship between the mimicker and the mimickee we explored how these mimicry component affected liking and metaperceptions of liking i e metaliking employing social relation model we found substantial interindividual difference in imitativity which predicted popularity however we found only small interindividual difference in imitatability we found support for our proposition that mimicry is a substantially dyadic construct explained mostly by the unique relationship between two people finally we explored the link between dyadic mimicry and liking and we found that a person s initial liking of his or her interaction partner led to mimicry which in turn increased the partner s liking of the mimicker,2018,Jan,Psychol Sci,29,1,131-138,29083989.0,10.1177/0956797617727121,,#1227,SalazarKampf 2018,Jonathan Diederichs (2023-06-25 05:24:43)(Screen): mix; ,,en,0.0,,0
Effects of a Mindfulness Task on Women's Sexual Response,"Velten, J.; Margraf, J.; Chivers, M. L.; Brotto, L. A.",mindfulness based intervention are effective at improving symptom of sexual dysfunction in woman the mechanism by which mindfulness improves sexual function are le clear the main objective of our study wa to investigate the impact of a mindfulness task on sexual response in woman forty one woman mean age 27 2 sd 5 6 participated in two laboratory session that each included two erotic film and one attention task that were presented in counterbalanced order both attention task consisted of a six minute audio recording of either a modified body scan focusing on genital arousal sensation mindfulness condition or a visualization exercise subjective and genital sexual arousal were measured continuously during stimulus presentation the mindfulness task led to greater subjective and lower genital arousal the agreement of subjective and genital sexual arousal i e concordance wa greater in the mindfulness condition trait mindfulness wa related to lower sexual arousal but also greater sexual concordance in woman mindfulness based intervention that encourage woman to focus on physical arousal sensation in the here and now may be associated with woman s improved sexual function by enhancing feeling of sexual arousal during sexual activity and by increasing concordance between subjective and genital sexual arousal,2018,Jul-Aug,J Sex Res,55,6,747-757,29261339.0,10.1080/00224499.2017.1408768,,#1229,Velten 2018,Louis Schiekiera (2023-06-16 18:02:30)(Screen): pos; ,,en,1.0,,0
"Effects of full-body mirror exposure on eating pathology, body image and emotional states: Comparison between positive and negative verbalization","Tanck, J. A.; Hartmann, A. S.; Svaldi, J.; Vocks, S.",mirror exposure me is an effective technique to improve body image however evidence on the underlying mechanism and the optimal verbalization instruction during me is lacking therefore this experimental study analyzed mechanism of me and therapeutic outcome by comparing positive pv and negative nv full body verbalization n 73 healthy female were randomized to a pv or an nv condition pv participant verbalized positively while nv participant verbalized negatively about their whole body each participant underwent three standardized me session before and after each me session positive affect negative affect and body satisfaction were assessed before the first and after the third me participant completed questionnaire on cognitive affective and behavioral aspect of body image eating pathology and self esteem regarding within me change the result indicate that positive affect and body satisfaction decreased while negative affect increased in the nv group but not in the pv group in contrast regarding between me change decreased negative affect a well a positive affect and increased body satisfaction were observed in both group however eating pathology remained stable whereas body checking behavior increased and the pv condition wa followed by higher level of self esteem compared to the nv condition these finding suggest that both pv and nv improve negative affect and body satisfaction between me and thus seem to be effective me instruction given that nv led to increased negative affect within me and did not influence self esteem pv might represent the favorable instruction during me for body satisfied woman,2021,2021/09/13,PLOS ONE,16,9,e0257303,34516591.0,10.1371/journal.pone.0257303,,#1230,Tanck 2021,Louis Schiekiera (2023-06-12 18:54:59)(Screen): mix; ,,en,0.0,,0
Testing a gamified Spider App to reduce spider fear and avoidance,"Haberkamp, A.; Walter, H.; Althaus, P.; Schmuck, M.; Rief, W.; Schmidt, F.",mobile application are increasingly part of mental health program and various apps have been developed for treating anxiety disorder typically they aim to improve anxiety symptom via established cbt technique such a exposure principle which are considered extremely unpleasant for fearful individual we combined in a mobile application exposure principle with gamification element e g narrative background level progression point and feedback these element should increase the motivation for confronting spider image and decrease the experienced distress to evaluate the application two group of spider fearful individual played either the spider app experimental group or a non spider associated app control group twice a day for approximately 12 min for 7 day after this week participant of the experimental group showed le avoidance behavior of spider bat a well a lower anxiety of spider spq fa group were not different in measure of depression or psychological distress interestingly participant playing the spider app reported higher anxiety disgust and arousal rating shortly after playing the app however anxiety disgust and arousal rating decreased from day to day we discus our finding with respect to implication for the clinical practice,2021,Jan,J Anxiety Disord,77,,102331,33166870.0,10.1016/j.janxdis.2020.102331,,#1231,Haberkamp 2021,Louis Schiekiera (2023-06-08 01:33:57)(Screen): mix; ,,en,0.0,,0
Taking a Closer Look at Social Performance in Childhood Social Anxiety Disorder: Biopsychosocial Context Considerations and Effects of Cognitive Behavior Therapy,"Asbrand, J.; Tuschen-Caffier, B.",model of social anxiety disorder sad describe shortfall in child social performance whereas empirically child often show a deficit only in subjective and not objective performance we examined social performance in relation to possible change before and after cognitive behavior therapy cbt including social skill training and to an objective parameter vocal arousal child with sad were expected to subjectively judge their behavior a le competent than healthy control hc child despite a lack of objective difference child receiving cbt were expected to show a change in subjective and objective social performance in comparison to child waiting for treatment exploratory correlation analysis were used to disentangle the relation between social performance and vocal arousal one hundred and nineteen child 64 with and 55 without sad aged 9 13 year completed a trier social stress test tsst child with sad participated in a second tsst after cbt or waiting performance wa assessed by self report and by blinded observer vocal arousal wa analyzed by audio recording child with sad were objectively assessed a more socially competent than hc child subjectively child with sad showed lower social performance cbt showed no effect on subjective or objective performance rating vocal arousal did not correlate with social performance result need to be considered carefully a psychometric problem appeared that had not been considered in previous study the surprising lack of cbt effect suggests a need to focus on cognition surrounding social performance further social skill training should not be a standard sad treatment component but used only if necessary,2022,Oct 4,Children (Basel),9,10,1515,36291451.0,10.3390/children9101515,,#1232,Asbrand 2022,Louis Schiekiera (2023-06-09 18:15:47)(Screen): mix; ,,en,0.0,,0
Autonomic Dysregulation in Child Social Anxiety Disorder: An Experimental Design Using CBT Treatment,"Asbrand, J.; Vogele, C.; Heinrichs, N.; Nitschke, K.; Tuschen-Caffier, B.",model of social anxiety disorder sad stress the relevance of physiological arousal so far limited research ha been conducted in child with sad in experimental stress design thus examining autonomic arousal child with and without sad completed a standardized social stressor trier social stress test for child c tsst c pre existing difference to healthy control hc were expected to decrease after receiving cognitive behavior therapy cbt child with sad n 64 and hc child n 55 completed a tsst c child with sad participated in a second tsst c after either cognitive behavioral treatment or a waitlist control period wlc a expected child with sad showed blunted heart rate reactivity compared to hc child further child with sad had elevated level of tonic sympathetic arousal a indexed by skin conductance level compared to hc child with sad showed lower parasympathetic arousal during the baseline compared to hc child receiving treatment did not differ from child in the wlc condition in a repeated social stress test psychophysiological difference between child with sad and hc child could be confirmed a indicated by previous research the lack of physiological effect of the intervention a an experimental manipulation might be related to slower change in physiology compared to e g cognition,2022,Sep,Appl Psychophysiol Biofeedback,47,3,199-212,35641719.0,10.1007/s10484-022-09548-0,,#1233,Asbrand 2022,Louis Schiekiera (2023-06-12 21:45:49)(Screen): mix; ,,en,0.0,,0
Electrocortical correlates of impaired motor inhibition and outcome processing are related in high binge-watching,"Dieterich, R.; Wullhorst, V.; Berghauser, J.; Overmeyer, R.; Endrass, T.",model posit problematic binge watching to involve a vicious circle of low motivation for alternative activity low sensitivity for the consequence of neglected goal and low self control a such simultaneously impaired feedback and inhibitory functioning might contribute to binge watching we tested the hypothesis that blunted feedback related brain activity is coupled with attenuated inhibitory brain activity in binge watcher high n 32 and non binge watcher n 31 performed go nogo inhibition and stop signal stopping task and a flanker paradigm with performance feedback during electroencephalography we examined how neural correlate of inhibition and stopping were associated with outcome processing in each group we assessed the temporospatial relationship using a single trial regression approach high binge watcher but not non binge watcher who differentiated le between gain and loss at the neural level feedback p3b also recruited le brain activity during both inhibition and stopping inhibition p3 and stopping p3 exploratory analysis suggested that these relationship were most prominent in high binge watcher with high loss of control over watching main effect of the group in performance or eeg did not emerge these result suggest a potentially problematic interaction between outcome and inhibitory function in binge watcher insensitivity to behavioral consequence along with inhibitory impairment may also confer a long term risk for compulsive watching our multi modal approach may be particularly suited to detect such an underlying risk marker,2021,Jun,Psychophysiology,58,6,e13814,33733543.0,10.1111/psyp.13814,,#1234,Dieterich 2021,Louis Schiekiera (2023-06-13 23:59:32)(Screen): mix; ,,en,0.0,,0
Embodiment in Virtual Reality Intensifies Emotional Responses to Virtual Stimuli,"Gall, D.; Roth, D.; Stauffert, J. P.; Zarges, J.; Latoschik, M. E.",modulating emotional response to virtual stimulus is a fundamental goal of many immersive interactive application in this study we leverage the illusion of illusory embodiment and show that owning a virtual body provides mean to modulate emotional response in a single factor repeated measure experiment we manipulated the degree of illusory embodiment and assessed the emotional response to virtual stimulus we presented emotional stimulus in the same environment a the virtual body participant experienced higher arousal dominance and more intense valence in the high embodiment condition compared to the low embodiment condition the illusion of embodiment thus intensifies the emotional processing of the virtual environment this result suggests that artificial body can increase the effectiveness of immersive application psychotherapy entertainment computer mediated social interaction or health application,2021,2021/09/06,Front Psychol,12,,674179,34552525.0,10.3389/fpsyg.2021.674179,,#1235,Gall 2021,Jonathan Diederichs (2023-06-25 21:43:40)(Screen): pos; ,,en,1.0,,0
The mental health of forcibly displaced couples,"Mahmood, H. N.; Ibrahim, H.; Ismail, A. A.; Neuner, F.",most current research investigating traumatic stress is focused on it effect at the individual level utilizing the implicit assumption that trauma related disorder are mutually independent within family and community however there is reason to assume that trauma related symptom within couple are influenced by each partner s risk factor and symptom using the actor partner interdependence model this study aimed to test whether symptom of posttraumatic stress disorder ptsd and depression were predicted by participant partner s exposure to traumatic event over and above the influence of the participant s own experience for this purpose we interviewed 687 heterosexual married iraqi and syrian couple in iraq s kurdistan region who had been forcefully displaced we assessed symptom of ptsd and depression using locally validated scale nearly all participant 98 8 reported exposure to at least one traumatic event with husband reporting exposure to a higher number of traumatic event than wife d 0 48 p 001 more than half of the participant met the criterion for a probable ptsd 61 1 or major depressive disorder diagnosis 60 4 within couple significant actor effect of experienced trauma exposure on personal ptsd and depressive symptom were observed for both husband and wife further there were significant partner effect of wife traumatic experience on husband ptsd and depressive symptom a well a of husband traumatic experience on wife ptsd and depressive symptom the finding argue for the interdependence of trauma related symptom within dyad in a dual trauma context suggesting the presence of intracouple transmission of trauma related symptom,2022,Dec,J Trauma Stress,35,6,1598-1607,35907258.0,10.1002/jts.22862,,#1237,Mahmood 2022,Jonathan Diederichs (2023-05-20 00:34:09)(Screen): pos; ,,en,1.0,,0
Predictors of Prolonged Grief Disorder in a German Representative Population Sample: Unexpectedness of Bereavement Contributes to Grief Severity and Prolonged Grief Disorder,"Doering, B. K.; Barke, A.; Vogel, A.; Comtesse, H.; Rosner, R.",most people adapt to bereavement over time for a minority the grief persists and may lead to a prolonged grief disorder pgd identifying griever at risk of pgd may enable specific prevention measure the present study examined the extent to which the subjective unexpectedness of the death predicted grief outcome above and beyond known sociodemographic and objective loss related variable in a sample drawn from a population representative investigation in our sample n 2 531 811 participant m age 55 1 17 8 year 59 2 woman had experienced the loss of a significant person six or more month ago participant provided demographic and loss related information perception of the unexpectedness of the death and completed the prolonged grief disorder 13 9 pg 13 9 the pg 13 9 wa used to determine pgd caseness a binary logistic regression investigated predictor of pgd caseness and a linear regression predictor of grief severity ancovas compared pgd symptom between the group who had experienced an expected v unexpected loss while controlling for the relationship to the deceased and time since loss the loss of a child or 23 66 95 ci 6 03 68 28 or a partner or 5 32 95 ci 1 79 15 83 the time since loss or 0 99 95 ci 0 99 1 00 and the unexpectedness of the death or 3 58 95 ci 1 70 7 69 were significant predictor of pgd caseness nagelkerke s r 2 0 25 and grief severity participant who had experienced the loss a unexpected v expected reported higher score on all pgd symptom unexpectedness of the death emerged a significant risk factor for pgd even after controlling for demographic and other loss related variable while our finding replicate previous research on the importance of the relationship to the deceased a a risk factor for pgd they also highlight the importance of assessing the subjective unexpectedness of a death and may help to identify risk group who can profit from preventive intervention,2022,2022/04/26,Front Psychiatry,13,,853698,35558417.0,10.3389/fpsyt.2022.853698,,#1238,Doering 2022,Jonathan Diederichs (2023-05-19 23:24:34)(Screen): pos; ,,en,1.0,,0
"The socially evaluated handgrip test: Introduction of a novel, time-efficient stress protocol","Finke, J. B.; Kalinowski, G. I.; Larra, M. F.; Schachinger, H.",most widely used stress induction procedure such a the tsst and the cold pressor test require considerable effort and overhead in term of preparation logistics and staff recruitment moreover while known to reliably induce hpa axis activation especially when combined with social self threat most conventional laboratory stressor cannot be flexibly adapted to elicit either a mainly autonomic or an additional endocrine stress response being a promising alternative approach a new version of the isometric handgrip test enriched by a social evaluative component wa evaluated in the present study on two consecutive session forty participant 20 woman performed a handgrip task at both 45 stress and 10 control of maximum voluntary isometric contraction lasting for 3min during the stress test continuous visual feedback on performance wa given participant in the social evaluative condition 50 were observed and evaluated by a previously unknown person of the opposite sex whereas in the standard condition feedback wa provided via a computer monitor cardiovascular measure heart rate blood pressure a well a additional index of autonomic reactivity skin conductance heart rate variability were registered before during and after stress induction moreover change in salivary cortisol and in subjective well being were assessed relative to control significant increase in cardiovascular and sympathetic activity were found irrespective of experimental group importantly however additional social evaluation resulted in elevated cortisol level furthermore evidence for reduced vagal tone during sustained socially evaluated handgrip emerged in conclusion the socially evaluated handgrip test represents a versatile time efficient method to induce stress in small laboratory setting,2018,Jan,Psychoneuroendocrinology,87,,141-146,29073513.0,10.1016/j.psyneuen.2017.10.013,,#1239,Finke 2018,Louis Schiekiera (2023-06-08 08:17:06)(Screen): pos; ,,en,1.0,,0
Mother-child bonding is associated with the maternal perception of the child's body odor,"Croy, I.; Mohr, T.; Weidner, K.; Hummel, T.; Junge-Hoffmeister, J.",mother can recognize the odor of their baby and typically adore this odor in line with this observation infant body odor activate reward related brain area in the mother in some mother child dyad however the mutual bond is impaired and mother have trouble engaging in interaction with their child we aimed to examine how mother with bonding difficulty perceive their child s body odor in total 75 mother of baby aged 0 12 month were examined twenty five of those were recruited in a psychosomatic day hospital ward which is specialized for mother child bonding disorder fifty age matched healthy woman and their baby served a control body odor sample of each baby were collected from bodysuits in a highly standardized procedure thereafter each mother rated the sample of her own and two other infant in a blind and randomized design in addition general olfactory function in term of threshold and identification ability wa tested and the mother reported the bonding to her baby in a standardized questionnaire healthy mother showed a clear preference of their own compared to odor of other infant s while mother with bonding difficulty did not furthermore the degree of preference wa negatively correlated to self reported bonding difficulty mother with bonding difficulty could not identify their own infant s odor above chance while control mother could both group did not differ in general olfactory function we assume that reduced close body contact and interaction time associated with bonding difficulty may lead to reduced exposure and hinder the recognition of the infantile body odor within a vicious cycle a reduced hedonic experience smelling their own baby may prevent woman from deliberately approaching the baby thus the positive and bond building consequence of bodily and sensory interaction cannot unfold a the baby s odor is normally perceived a very pleasant and rewarding the conscious perception of the infantile body odor may be an additive therapeutic approach for mother with bonding difficulty,2019,Jan 1,Physiol Behav,198,,151-157,30261171.0,10.1016/j.physbeh.2018.09.014,,#1240,Croy 2019,Louis Schiekiera (2023-06-16 21:57:18)(Screen): mix; ,,en,0.0,,0
Children's Body Odors: Hints to the Development Status,"Schafer, L.; Sorokowska, A.; Weidner, K.; Croy, I.",mother can recognize their own child by body odor besides signaling familiarity child s body odor may provide other information relevant to maternal caregiving behavior such a the child s developmental status thus we explored whether mother are able to classify body odor on pre v postpubertal status above chance level in total 164 mother were presented with body odor sample of their own and four unfamiliar sex matched child who varied in age range 0 18 year pubertal status wa measured by a determining the child s steroid hormone level and b parental assessment of the child s developmental stage using the pubertal development scale mother classified developmental status with an accuracy of about 64 maternal assessment were biased toward pre puberty classification wa predicted by perceptual evaluation of the body odor i e intensity and pleasantness and by the child s developmental stage but not by hormone in specific mother with pubertal aged child classified body odor using the child s developmental status whereas mother with younger child only classified body odor using perceptual information i e intensity and pleasantness our data suggests that body odor convey developmental cue but how this developmental information is manifested in body odor remains unclear,2020,2020/03/04,Front Psychol,11,,320,32194481.0,10.3389/fpsyg.2020.00320,,#1241,Schafer 2020,Louis Schiekiera (2023-06-16 22:08:06)(Screen): mix; ,,en,0.0,,0
Replication of fMRI group activations in the neuroimaging battery for the Mainz Resilience Project (MARP),"Kampa, M.; Schick, A.; Sebastian, A.; Wessa, M.; Tuscher, O.; Kalisch, R.; Yuen, K.",motivated by the recent replicability crisis we tested replicability of functional magnetic resonance imaging fmri group activation in two independent sample an identical behavioral and fmri test battery for the longitudinal investigation of stress resilience mechanism wa developed for the mainz resilience project marp and conducted in a discovery n 54 and a replication sample n 103 the test battery consisted of a stress reactivity task a reward sensitivity task a fear conditioning and extinction paradigm two volitional reappraisal task and an emotional interference inhibition task replicability of group activation wa tested with the jaccard index and the intra class correlation icc overall we observed good to excellent replicability of activation at the whole brain level only a minority of contrast showed unsatisfactory replicability replicability at the level of individual region of interest roi wa generally lower task with stronger activation in the discovery sample showed better replicability,2020,Jan 1,NeuroImage,204,,116223,31557545.0,10.1016/j.neuroimage.2019.116223,,#1242,Kampa 2020,Louis Schiekiera (2023-06-16 22:46:50)(Screen): mix; ,,en,0.0,,0
Independent effects of motivation and spatial attention in the human visual cortex,"Bayer, M.; Rossi, V.; Vanlessen, N.; Grass, A.; Schacht, A.; Pourtois, G.",motivation and attention constitute major determinant of human perception and action nonetheless it remains a matter of debate whether motivation effect on the visual cortex depend on the spatial attention system or rely on independent pathway this study investigated the impact of motivation and spatial attention on the activity of the human primary and extrastriate visual cortex by employing a factorial manipulation of the two factor in a cued pattern discrimination task during stimulus presentation we recorded event related potential and pupillary response motivational relevance increased the amplitude of the c1 component at approximately 70 m after stimulus onset this modulation occurred independently of spatial attention effect which were evident at the p1 level furthermore motivation and spatial attention had independent effect on preparatory activation a measured by the contingent negative variation and pupil data showed increased activation in response to incentive target taken together these finding suggest independent pathway for the influence of motivation and spatial attention on the activity of the human visual cortex,2017,Jan 1,Soc Cogn Affect Neurosci,12,1,146-156,28031455.0,10.1093/scan/nsw162,,#1243,Bayer 2017,Jonathan Diederichs (2023-06-21 20:24:41)(Screen): pos; ,,en,1.0,,0
Lessons Learned from an Attempted Pragmatic Randomized Controlled Trial for Improvement of Chronic Pain-Associated Disability in Green Professions: Long-Term Effectiveness of a Guided Online-Based Acceptance and Commitment Therapy &nbsp;(PACT-A),"Braun, L.; Terhorst, Y.; Titzler, I.; Freund, J.; Thielecke, J.; Ebert, D. D.; Baumeister, H.",musculoskeletal symptom are increased in farmer whereas the prevalence of chronified pain is unknown online intervention based on acceptance and commitment therapy act have shown encouraging result in the general population representing a promising approach for reducing pain interference in green profession i e farmer forester gardener we conducted a pragmatic rct comparing a guided act based online intervention to enhanced treatment a usual in entrepreneur contributing spouse family member and pensioner in green profession with chronic pain cpg grade ii 6 month recruitment wa terminated prematurely after 2 5 year at n 89 of planned n 286 assessment were conducted at 9 week t1 6 month t2 and 12 month t3 post randomization the primary outcome wa pain interference t1 the secondary outcome encompassed pain health and intervention related variable no treatment effect for reduction of pain interference wa found at t1 beta 0 16 95 ci 0 64 0 32 p 0 256 improvement in cognitive fusion pain acceptance anxiety perceived stress and quality of life were found only at t3 intervention satisfaction a well a therapeutic and technological alliance were moderate and uptake and adherence were low result are restricted by low statistical power due to recruitment issue high study attrition and low intervention adherence standing in contrast to previous study further research is warranted regarding the use of act based online intervention for chronic pain in this occupational group trial registration german clinical trial registration drks00014619 registered 16 april 2018,2022,Oct 25,Int J Environ Res Public Health,19,21,13858,36360738.0,10.3390/ijerph192113858,,#1245,Braun 2022,Jonathan Diederichs (2023-05-19 23:32:02)(Screen): mix; ,,en,0.0,,0
Frequencies and Predictors of Negative Effects in Routine Inpatient and Outpatient Psychotherapy: Two Observational Studies,"Gerke, L.; Meyrose, A. K.; Ladwig, I.; Rief, W.; Nestoriuc, Y.",negative effect of psychotherapy nep include side effect malpractice and unethical behavior it setting specific frequency and predictor are mostly unknown the two presented study aim to investigate nep and it predictor systematically across different treatment setting in study 1 n 197 patient of a german outpatient center were recruited on average 3 76 year after the termination of psychotherapy in study 2 data from n 118 patient of two german inpatient clinic were collected at admission t 0 discharge t 1 and 9 month follow up t 2 all participant evaluated the negative effect of their previous out or inpatient psychotherapy with the inventory for the balanced assessment of negative effect in psychotherapy and a priori hypothesized predictor at least one side effect wa reported by 37 3 of inpatient t 2 and 15 2 of outpatient at least one case of malpractice and unethical behavior wa reported by 28 8 of inpatient t 2 and 7 1 of outpatient inpatient reported significantly more side effect u 14347 z 4 70 p 0 001 r 0 26 and malpractice and unethical behavior u 14168 z 5 21 p 0 001 r 0 29 than outpatient rate of severe malpractice in the form of breaking confidentiality and physical and sexual abuse were le than 1 in both setting predictor of side effect were prior experience with psychotherapy and current interpersonal difficulty in the outpatient setting and higher motivation for psychotherapy t 0 in the inpatient setting predictor of malpractice and unethical behavior were younger age in the outpatient setting and poor therapeutic alliance prior negative experience with malpractice and unethical behavior and higher outcome expectation in the inpatient setting nep are common in both in and outpatient setting inpatient are at higher risk for the nep than outpatient to safeguard patient wellbeing the systematic assessment and distinction of side effect and malpractice and unethical behavior should gain more attention in research and clinical practice,2020,2020/08/25,Front Psychol,11,,2144,32982878.0,10.3389/fpsyg.2020.02144,,#1248,Gerke 2020,Louis Schiekiera (2023-05-18 01:45:10)(Screen): pos; ,,en,1.0,,0
Differential caloric intake in overweight females with and without binge eating: effects of a laboratory-based emotion-regulation training,"Svaldi, J.; Tuschen-Caffier, B.; Trentowska, M.; Caffier, D.; Naumann, E.",negative emotion are among the best predictor for the occurrence of binge eating attack in binge eating disorder bed evidence from self report and experimental study suggests that this link may be mediated by deficit in emotion regulation er therefore the aim of the present study wa to experimentally test the effect of a short laboratory based er training on caloric intake in bed thirty nine woman with bed and 42 overweight female without bed were randomly assigned to a laboratory based er training focusing on either expressive suppression or cognitive reappraisal they were then given a negative mood induction with the instruction to adopt the learned er strategy which wa followed by a bogus taste test independent of group membership caloric intake wa significantly higher in the suppression compared to the reappraisal condition furthermore the bed group displayed significantly higher habitual suppression and significantly lower habitual reappraisal score than the overweight group the data suggest that therapeutic intervention focusing on the mediation of more adaptive affect regulation skill may be useful for the reduction of binge eating episode,2014,May,Behav Res Ther,56,,39-46,24650627.0,10.1016/j.brat.2014.02.008,,#1249,Svaldi 2014,Louis Schiekiera (2023-06-13 19:45:55)(Screen): pos; ,,en,1.0,,0
Future expectations in clinical depression: Biased or realistic?,"Zetsche, U.; Burkner, P. C.; Renneberg, B.",negative expectation have been highlighted a a key mechanism in the maintenance and recurrence of depression nonetheless no study ha investigated currently depressed individual expectation about their future mood so far this is surprising given that experience of sustained negative mood and lack of positive mood are the hallmark symptom of depression the present study thus assessed depressed individual expectation about their future mood and examined whether these expectation are accurate or negatively biased the study used experience sampling methodology esm to contrast participant expectation with their actually experienced sad and happy mood within a 4 day period at the end of this period participant recalled their past mood all variable were assessed in 30 clinically depressed individual and 37 matched healthy control a well a in 56 undergraduate student with a wide range in depressive symptom result revealed that clinically depressed individual held negatively biased expectation about their future mood they expected more sad and le happy mood than they actually experienced in contrast healthy individual showed realistic expectation about their future mood depressed individual also demonstrated a negative mood recall bias finally individual expectation and memory were more closely linked to depression status than their actually experienced mood although negative mood is the hallmark symptom of depression the expectation and memory of negative mood may be even more central for the understanding of depression psycinfo database record c 2019 apa all right reserved,2019,Oct,J Abnorm Psychol,128,7,678-688,31403805.0,10.1037/abn0000452,,#1250,Zetsche 2019,Louis Schiekiera (2023-06-14 00:59:12)(Screen): pos; ,,en,1.0,,0
